20;20;100;100
20;20;20;200
100;100;200;200
200;200;250;200
250;200;400;200
400;200;600;200
400;200;400;300
600;200;800;200
400;300;210;300
400;300;400;400
800;200;800;300
210;300;20;300
400;400;400;500
800;300;800;500
20;300;20;200
20;300;20;500
400;500;600;500
400;500;400;580
800;500;600;500
800;500;800;580
20;500;20;660
400;580;400;660
800;580;800;660
20;660;200;660
20;660;20;740
20;740;20;800
400;660;200;660
400;660;600;660
800;660;600;660
800;660;800;800
20;800;200;800
800;800;600;800
200;800;400;800
600;800;400;800
400;660;400;800
